reviewerID,asin
674,127
3161,1467
1625,710
1351,891
1543,1433
2586,519
1302,833
1968,1492
3425,1412
2635,1302
3526,92
442,202
3803,887
246,1467
3005,1184
1503,1132
1396,4
583,1298
3491,1235
3143,4
3353,225
2107,1416
1014,505
136,1104
2132,999
758,56
3318,1049
146,491
1213,1574
3395,597
1832,1104
1240,523
2811,1235
2344,1258
3324,1104
228,54
2309,735
1505,844
3559,94
666,1049
871,261
1074,4
2507,1203
1144,696
1135,1260
3226,507
1432,1164
295,1091
1586,726
1138,1260
3572,563
2908,46
1467,1000
607,618
2731,273
3125,726
1694,726
3041,729
2805,1387
1445,311
9,1335
2885,726
3353,1432
1888,967
2243,1049
2443,598
2140,444
3735,194
1043,1305
351,205
1123,253
456,1049
3633,445
3738,92
1203,606
2187,1005
2463,92
238,94
649,885
1602,710
852,865
823,1454
3481,602
3184,162
2504,726
735,1406
1474,50
922,404
1394,887
1930,1002
2602,590
1926,294
112,317
65,1189
1920,283
3184,1213
3052,4
2675,1423
2114,1512
2610,1364
919,1168
1530,1049
1753,92
15,596
148,1425
1300,273
2421,177
2556,1302
1530,1049
1988,484
584,1305
1633,173
1987,4
1388,507
746,1572
1352,507
1021,509
1573,273
2344,1284
1388,120
304,726
162,644
3318,1049
3309,1188
2525,507
2734,1013
2287,668
1488,925
219,17
2002,120
546,1246
779,726
1943,982
1873,15
679,350
3279,120
2668,63
123,797
511,994
1887,1525
1997,1467
149,1148
246,948
2574,446
1461,4
1860,212
1089,1090
3276,865
347,436
340,4
3436,726
1230,1403
2643,1485
645,1445
2268,1049
1025,4
3026,385
2633,78
1018,936
957,1572
130,571
1739,1361
456,1049
69,1164
3123,1496
933,625
222,306
1743,672
2954,1095
1423,555
1845,1314
1594,865
2951,1184
3007,611
1958,1294
3017,638
3656,1522
496,202
1228,855
2414,1525
2407,589
95,811
1833,89
1016,58
2819,1494
1515,668
1133,518
3053,129
1852,26
2805,248
1288,1049
1047,91
3489,556
1710,4
402,507
3334,243
629,273
246,1003
2314,1317
1133,1467
946,507
3495,1305
3450,726
1751,406
3318,1049
2048,1496
1008,618
605,4
328,726
2413,1049
389,716
2956,273
454,865
1867,726
173,1298
2468,923
2672,1102
1339,4
3415,865
633,251
2827,216
202,929
1171,1159
519,1147
1036,593
3541,1047
631,939
2598,762
991,937
2111,917
853,710
1704,882
1715,439
1136,387
337,751
540,148
2841,556
2053,123
615,726
2959,1145
42,494
1217,134
3381,506
720,507
2668,1090
2279,68
1872,1467
906,691
409,1235
3332,865
3412,757
1136,89
3102,302
567,865
1909,120
3761,923
3281,570
439,1186
2231,692
3346,859
3139,655
1318,865
1824,1170
115,92
220,445
3003,994
2668,404
3740,726
2289,7
3643,120
758,1471
3735,865
2125,1522
921,11
1127,46
2881,496
3137,343
