reviewerID,asin
3529,110
652,584
3164,481
631,1146
2646,51
3451,612
1329,1355
1804,505
194,525
973,598
575,626
3632,1357
1684,465
926,199
1697,764
2381,201
665,1553
1072,758
2500,388
2133,518
1391,708
3443,1273
52,471
249,879
3263,653
1501,1565
2125,354
1347,317
200,591
579,814
1155,349
3697,1371
1344,893
1018,1273
3802,695
1626,879
1156,619
2466,1409
1063,1570
2666,1080
155,1494
135,482
1559,1545
3615,1264
3349,205
2089,1018
2188,375
1177,743
3339,1481
1216,171
1878,713
1332,597
3095,783
3662,156
1286,651
3152,1349
2000,1540
2463,1043
3008,1481
2897,1377
3778,484
782,850
1791,650
61,411
2095,303
1719,127
1384,585
1479,1557
232,836
1846,1443
607,589
1973,186
3049,730
2799,1181
2804,424
3732,946
220,1382
1467,657
3518,163
3612,458
2234,1240
785,1023
2219,188
2297,121
1646,89
3094,919
1936,990
3735,1177
1668,867
477,731
797,144
286,622
3551,27
2068,540
3503,620
3524,355
184,1412
570,946
1106,718
919,514
3227,743
2614,225
1749,163
3287,712
2364,724
1080,275
1400,1017
2647,267
918,284
3273,1382
2329,476
1518,458
1748,475
2858,674
1889,1436
2657,1336
1635,1042
3706,1314
262,1229
1357,1102
3718,1353
1470,24
1221,816
560,1425
433,330
2744,1240
429,15
2576,550
1077,1311
268,1454
2470,342
103,280
2226,998
2845,268
3628,268
2381,955
1249,203
2451,134
690,228
1795,691
1891,929
3211,1130
1309,908
2438,1403
47,1132
251,1174
1989,434
3503,788
2127,39
3463,921
2811,1355
227,880
2678,873
3520,1267
296,1549
2976,907
2240,392
1380,898
1364,385
2330,849
2695,231
3144,1035
798,1304
3185,141
590,54
3455,934
2132,1028
3386,1003
1229,149
3053,902
405,614
2889,153
2693,599
856,1500
2265,236
1300,969
1719,1169
986,1229
2812,777
571,1031
1710,1248
1149,975
3407,1188
1821,1442
3348,65
1695,1154
1804,1483
1167,475
1795,1294
1044,1522
2811,1015
3537,237
1127,818
2355,228
2970,985
3024,51
957,596
2860,507
1458,828
3355,164
105,1473
2115,1527
885,1121
2157,1195
497,816
2041,1292
3655,1365
1813,1480
1266,387
2862,569
2489,1066
3526,1273
3311,908
1052,714
2322,788
1616,975
3329,1521
3207,493
2923,964
391,1254
1683,276
875,1347
1698,1403
1834,584
2773,447
989,739
348,1113
3130,1143
2658,819
3786,633
1407,1494
77,1544
89,693
1581,33
1074,289
933,61
3796,603
1547,227
1585,91
2868,75
1350,130
1710,1276
2187,296
1748,957
1929,815
1822,805
2898,647
2626,666
160,290
2094,1463
3025,231
2372,653
1359,1135
1441,399
1495,1021
3393,653
936,393
3461,666
1498,811
421,531
277,1397
1438,1002
746,1121
2942,611
1687,1473
2486,1166
615,897
1721,17
2859,181
1328,109
1474,1359
3789,673
3743,845
1259,680
111,707
224,1562
1759,752
3725,898
42,679
3355,184
697,39
3638,1323
1840,500
965,1004
1832,105
85,1315
3352,476
2617,785
2420,549
483,472
1436,1148
3663,1087
753,995
2323,330
789,1177
2319,954
312,437
3800,342
3302,1044
763,458
1730,841
2378,556
2635,661
1976,523
920,1488
1390,981
56,429
172,79
3270,535
2664,435
262,481
2501,1435
1826,564
1535,703
232,211
1638,132
3781,89
2165,431
798,1298
976,1383
1107,1011
3610,1319
2073,1526
356,313
3345,789
3801,654
215,1350
2139,1562
98,1044
2694,1446
806,471
962,850
2144,845
854,332
2836,380
3578,992
956,643
595,1381
647,922
3114,198
3110,201
3781,328
3071,1094
2824,206
1041,1520
895,224
2888,47
1516,1477
577,1328
3594,548
2278,246
1348,659
2503,1187
3638,537
3500,1184
1515,995
3775,705
2909,317
3258,470
497,1546
1933,686
2041,482
43,653
2144,634
1298,579
3494,460
3079,1280
1393,629
2577,1206
3169,163
57,579
983,126
2991,1314
1686,1532
3052,389
3812,1512
2631,164
951,1269
3294,1555
181,1378
3066,148
3356,294
952,723
2898,563
38,515
3372,458
1506,915
3590,1131
740,925
2329,1305
3691,114
79,758
3776,648
2062,1064
442,1335
423,460
235,277
2047,1160
1451,796
872,1017
3,437
1021,1270
3772,782
2989,102
259,1473
2810,725
2973,286
2350,220
1302,1107
603,63
422,1231
2055,1239
619,892
499,630
3771,1375
1080,218
328,911
3659,97
2419,277
1838,800
2976,872
2669,471
2126,1215
223,389
2397,1302
2478,1213
630,1197
2766,1071
2314,260
2665,1371
3743,1168
3236,46
426,530
1693,1548
959,994
808,369
3790,629
3506,703
2257,401
1801,62
3219,61
733,79
1516,702
748,494
2615,430
1489,1451
1556,1149
2276,758
2206,1175
3379,968
3398,185
3267,1016
458,574
2316,445
2197,1484
1752,1112
2527,845
1714,310
3082,217
3416,578
3002,873
2952,1141
958,771
1398,1547
327,893
393,882
1327,808
1045,984
965,796
1281,407
3807,195
3503,714
621,698
985,440
2675,90
3562,1028
2417,456
3655,1303
1164,1177
2562,910
2813,626
2697,811
3229,44
3816,828
2063,451
3043,1536
2058,1280
2997,43
1840,744
3289,1215
1581,374
3667,1571
534,139
2673,206
276,813
1130,228
2489,1553
3154,869
2898,145
2207,1538
202,128
362,843
2760,632
3647,1268
3233,612
1661,1496
1945,38
260,376
873,4
280,1368
2475,727
1685,360
1379,1291
3702,1019
1626,742
3219,111
2458,718
704,334
214,477
0,861
1038,533
1568,995
1579,773
1946,142
1498,953
1635,1080
2118,1388
2881,473
2160,14
428,478
2309,718
1789,291
2987,1560
813,384
2502,503
2202,862
436,409
851,109
1500,1251
776,1024
1298,1208
956,1402
3405,55
2887,868
2918,1258
1734,760
749,569
1418,673
1954,738
370,9
2116,1033
957,512
2696,1392
3558,1435
467,387
252,657
353,1253
3106,195
2903,846
745,1081
1711,472
2625,920
536,565
266,866
2893,1526
1957,66
136,466
2093,1193
257,789
2617,738
1071,1199
2907,145
536,351
2609,1082
288,614
2984,676
1106,535
3187,419
1263,967
2326,44
359,1263
969,1299
1230,1356
556,1420
547,1493
355,1429
2062,1519
2867,1368
1260,659
723,684
905,1546
315,1280
2466,1276
3489,97
2812,320
2070,909
1635,832
55,1116
1215,865
1050,1006
2840,1573
1162,480
3234,655
3508,596
2073,1276
938,165
3583,432
3520,447
3561,1081
971,930
2340,1159
207,1259
1345,844
2535,952
1492,1357
1107,512
1418,1054
2451,1356
3463,34
1303,1487
119,831
3579,845
2733,1340
208,638
982,1303
1580,459
2390,464
667,387
1687,497
1420,1287
1902,734
2200,687
1839,902
1686,1349
699,1282
1560,1143
103,1425
1412,1048
1808,937
2437,169
2581,569
2494,445
2810,872
2771,1534
3570,45
2383,693
736,1342
2403,1245
322,303
1618,367
36,175
3064,559
3032,5
3156,1395
705,423
2100,1181
3011,1483
1278,1477
1477,990
585,534
2919,688
1580,668
1326,5
1950,354
1675,65
2034,679
1135,495
582,970
679,898
1081,474
1920,1429
1965,27
3660,249
3561,836
990,603
2554,1567
3000,1426
2223,301
807,871
1532,1306
720,692
831,276
2819,857
2487,1081
691,607
3725,213
213,596
38,239
2817,1145
1238,67
935,876
3239,512
3101,184
2614,294
1132,1287
365,487
1068,1109
458,401
1352,119
3734,1081
3527,1196
1966,867
831,859
1325,592
117,206
1824,669
1603,1580
2461,948
161,1454
666,497
3352,90
1393,957
503,458
2754,762
946,1021
2618,1018
1843,17
799,926
2151,425
884,905
1174,447
3091,580
217,1250
2806,733
841,527
2254,975
3686,635
3495,926
1541,1469
1635,454
3592,1002
1383,19
1756,1177
768,515
3637,1542
3059,1272
3239,963
2122,1155
852,47
1512,1368
2220,365
3164,1329
3082,1244
1218,1177
2081,185
1962,420
1716,76
3598,1395
1473,861
743,815
911,1426
934,1365
2419,568
830,61
2305,1107
2145,1166
2972,994
3792,459
985,721
2323,1250
210,1114
3646,84
3809,323
596,617
648,1512
1003,810
2693,1176
977,89
996,1270
259,1197
3032,360
3534,1023
3409,1166
1486,468
2563,362
3078,100
3409,1390
2655,687
479,63
3348,69
127,624
3480,97
1760,580
472,1270
1830,39
3685,7
3810,307
2402,89
3042,1313
2478,252
1453,810
2176,1470
2677,679
630,1385
872,1000
2182,751
1891,677
2802,1498
2689,23
1632,652
3041,225
725,477
3571,267
1834,957
1722,1565
758,141
786,921
703,589
1205,56
805,1197
2805,31
1158,1191
3302,1560
2619,1033
868,538
3598,106
1527,1279
1712,500
2476,1411
180,457
1336,467
518,394
3430,668
798,608
1190,133
1634,424
2600,1148
177,222
2751,1128
933,205
2733,628
1272,1182
3494,1533
2220,391
3738,1517
313,373
2486,867
1430,1518
450,849
3608,1508
3390,645
197,554
3678,1342
2764,915
40,566
2786,1443
3309,318
3546,448
1639,1031
487,157
457,172
3582,1058
1590,1355
2622,853
959,830
3113,1465
2329,92
2913,1232
3807,571
1933,64
3440,1429
3814,718
3316,403
1439,279
3282,83
3422,455
371,1515
2880,524
2187,935
3394,111
3798,291
1800,1131
2846,836
3814,14
977,1022
2052,338
2102,1242
3395,1149
1296,1531
1260,48
101,845
3536,837
3308,1167
2398,82
558,1013
3234,1580
1402,711
140,1085
1429,1466
1347,421
417,693
2967,1319
3019,322
1635,226
2018,1490
3109,1436
3094,824
2445,1387
1269,697
2655,64
1845,108
3781,84
3454,1305
1617,85
1008,309
636,1181
1416,177
2186,1406
2748,791
561,944
697,747
1552,1121
2937,1380
2117,771
2253,544
65,398
1165,313
655,327
1079,715
1876,1488
1569,652
2373,407
199,1472
2821,1353
2276,301
1343,1097
496,361
2721,1314
948,808
2012,691
2325,961
1700,174
3459,399
2323,907
1104,799
3787,676
2267,681
3115,849
316,648
3132,1200
3541,684
2379,347
3550,394
2857,1485
844,575
852,1163
1555,764
2832,959
2292,896
3024,1474
3247,1484
1962,487
2163,1384
3664,1172
3404,1383
728,23
716,1233
1593,49
90,877
6,63
3425,576
2468,517
681,767
709,227
1442,1188
1862,167
2863,1283
3123,364
698,507
1113,431
1061,1288
3577,403
1607,771
1581,909
2834,686
2282,559
146,1521
1821,149
456,832
3124,1483
1664,1266
2021,1333
1851,984
1356,948
3581,168
2577,859
2301,112
3112,1480
3330,903
2094,808
1713,1546
3082,1417
1042,901
3620,321
2061,261
253,1053
2092,1122
1036,1423
2394,819
2773,834
2047,314
2009,943
1381,254
3450,292
3334,95
2871,156
1934,939
1998,824
3346,474
1841,1287
1035,388
2046,780
1276,1344
1303,377
3016,814
3808,329
3558,473
3688,1475
3187,283
1824,383
3570,1536
2604,163
2567,235
2183,1461
9,194
2058,303
703,1004
1996,1164
356,1491
784,975
3356,1397
612,430
670,101
2247,582
538,250
2137,1452
2854,1048
3417,198
2740,1147
2737,1476
2931,80
2271,1220
3037,597
947,447
3685,1209
3600,871
1254,1407
1264,958
3718,224
2889,1058
584,557
3401,1045
3721,227
2950,20
1133,1175
1749,1095
963,712
3440,212
1768,706
2193,537
966,1187
1227,1088
892,1102
2249,962
1459,504
2645,794
1051,407
3226,28
830,1376
3774,1576
2998,1552
2259,44
2403,919
480,938
2208,1315
655,1551
3658,1520
3047,150
3628,191
2196,1047
3657,943
2698,454
3736,120
502,626
2896,1112
3058,388
640,890
2302,382
1695,933
3143,1537
3784,1143
2621,1264
3079,1207
166,1488
305,130
2150,969
1681,1416
3670,616
2799,895
1474,139
1000,182
1033,1034
3405,1565
3378,248
3039,1211
833,645
99,1520
122,12
1285,610
2957,322
19,157
1550,26
2678,114
1825,809
2812,1471
420,522
3331,91
1562,1139
3261,319
2747,981
2070,314
1671,1491
306,1409
3548,25
1718,255
3286,198
1281,223
2587,1300
2964,600
2156,716
511,1020
3190,373
1730,558
3784,1487
1187,1397
834,936
1306,60
1650,1389
2736,1408
2600,535
3378,1306
124,104
3461,1309
3637,40
1311,134
3169,1349
685,1566
700,522
1022,808
1174,1544
650,950
706,1555
74,947
3422,1356
1042,301
786,1451
406,107
3016,408
2709,520
3703,622
1271,1131
2851,164
3417,168
1213,148
3034,1371
3554,52
2284,1042
814,1078
2098,939
357,186
3319,421
84,997
3013,1319
1832,437
67,522
2415,693
1633,867
2234,1535
591,233
662,151
2873,385
3794,45
1525,88
880,740
116,1243
835,1156
596,851
3047,1182
1761,699
1476,2
1284,143
1517,104
3462,1309
2899,341
2978,1230
2054,1515
1572,407
3244,415
1197,1391
1851,237
377,254
3535,701
2089,642
2491,697
3419,373
3631,664
3325,284
1770,853
434,316
309,1117
779,476
731,97
2813,1042
2626,871
3514,1233
799,1096
2716,1078
2899,1519
765,671
2103,517
1014,707
502,1570
1565,221
1447,1029
2435,983
495,332
307,91
688,566
2408,1509
426,1403
129,607
721,220
2209,1134
1829,1205
1385,1518
349,156
3577,115
806,84
3266,1139
3545,1039
2932,907
2335,1222
3339,20
2763,1095
