reviewerID,asin
A2HOI48JK8838M,B00004U9V2
A1YIPEY7HX73S7,B00004U9V2
A2QCGHIJ2TCLVP,B00004U9V2
A2R4UNHFJBA6PY,B00004U9V2
A2QCGHIJ2TCLVP,B00004U9V2
A1606LA683WZZU,B00004U9V2
A1606LA683WZZU,B00004U9V2
A1606LA683WZZU,B00004U9V2
A1YY53NQXFKMRN,B00004U9V2
A3R0NQ9E53JHYQ,B00004U9V2
A3R0NQ9E53JHYQ,B00004U9V2
A3R0NQ9E53JHYQ,B00004U9V2
A2QCGHIJ2TCLVP,B00004U9V2
A35YXEDATMIJ9S,B00004U9V2
A2HOI48JK8838M,B00004U9V2
A3CRJ1Q73RB25F,B00004U9V2
A1Y39RECFXEGNL,B00004U9V2
A1Y39RECFXEGNL,B00004U9V2
A3O0BXK3SZ6FE0,B00004U9V2
AWVF9EWW3BXYV,B00004U9V2
AWVF9EWW3BXYV,B00004U9V2
A1Y39RECFXEGNL,B00004U9V2
ACUGBCEADYT6D,B00004U9V2
A3O0BXK3SZ6FE0,B00004U9V2
A3S3R88HA0HZG3,B00004U9V2
A16VM71BLBCMMK,B00005V50B
A1RRX286ZRI830,B00005V50B
A2CAF6DVZOHMHG,B00005V50B
A1M1Y5UGONAW06,B00005V50B
AHLTB5YPI6JX1,B00005V50B
A3LSOG7F3ZCJ65,B00005V50B
A2NUBL2UYWPBWR,B00005V50B
A2AVMDTFW79N2N,B000068DWY
A2KJIX9GXBCVWH,B000068DWY
A15R5T6T1TBSJX,B000068DWY
A3TX3N3YORDUBY,B000068DWY
A3045PONRA3KZ2,B000068DWY
A326D766H2I6RR,B000068DWY
A1B95QB8NVYOSM,B000068DWY
A1EJ9DSKSM0UN1,B000068DWY
A2N0ORB4ES548E,B000068DWY
A2N0ORB4ES548E,B000068DWY
AC400LZPY74N1,B000068DWY
AV00VR0BWTQI6,B000068DWY
A32O98PFC3OP7K,B000068DWY
A6QG9LM5WL0AQ,B000068DWY
AOP2ZRNSHY2Z3,B000068DWY
A2JP9E1H0SF392,B000068DWY
A3IOCPLIMYDBCD,B000068DWY
AG0830H1DBLD,B000068DWY
A35Q0RBM3YNQNF,B000068DWY
A39WWMBA0299ZF,B000068DWY
A2JCJJNY43QQIV,B000068DWY
A3UQ3HOJ37Q24Q,B000068DWY
A2MS6GT9F0CB01,B000068DWY
A18L008KVHQ1AM,B000068DWY
AICOFZH7HCKGY,B000068DWY
A1NOKJM3Y13CG9,B000068DWY
A2CRHEUW1ATJ65,B000068DWY
A2JP9E1H0SF392,B000068DWY
ALT082QMA75B6,B000068DWY
A10K606KWGOA2Y,B000068DWY
A3UQ3HOJ37Q24Q,B000068DWY
A3U16LITWT2PQJ,B000068DWY
AJ9VB45YRX8C9,B000142FVW
A39ECS1S0CJ0X9,B000142FVW
AI2YYV9D3LS8P,B000142FVW
A1O3UXMAN62I6V,B000142FVW
A2BHOZILR7SY9,B000142FVW
A2WCQTORZ1G1NG,B000142FVW
A3VXLOGI23ZHHX,B000142FVW
A1O5T5R8A6EG7U,B000142FVW
A2YG3QYP5BFNYG,B000142FVW
A3IE9F9PFLNUYN,B000142FVW
A3P51JNV7DHB2L,B000142FVW
ACMSQCH1H7JZD,B000142FVW
AIWN1666ZUAP9,B000142FVW
